Name,Sport,Position,Last Year Active,Most Known Team
Michael O'Connor,Baseball,Pitcher,Retired (2020),Washington Nationals
Greg Oden,Basketball,Center,Retired (2015),Portland Trail Blazers
Dayo Odeyingbo,Football,Defensive End,Active,Indianapolis Colts
Axel Ofori Jr.,Football,Offensive Lineman,Active (CFL),CFL
Braeden Ostepchuk,Hockey,Left Wing,Active,—
Devine Ozigbo,Football,Running Back,Active,—
Owen Pappoe,Football,Linebacker,Active,Carolina Panthers
Steven Parker,Football,Safety,Active,—
Spencer Paysinger,Football,Linebacker,Retired (2017),New York Giants
Rico Paytonpassiac ace,Football,Linebacker,—,—
Donovan Peoples-Jones,Football,Wide Receiver,Active,Detroit Lions
Jamal Perry,Football,Wide Receiver,Active,—
Jaelan Phillips,Football,Defensive End,Active,Miami Dolphins
Josh Powell,Basketball,Power Forward / C,Retired (2014),Los Angeles Lakers
Myles Purchase,Football,Running Back,—,—
Shaquille Quarterman,Football,Linebacker,Retired (2022),Jacksonville Jaguars
Keith Randolph Jr,Football,Defensive Tackle,Active,Chicago Bears
Spencer Rattler,Football,Quarterback,Active,New Orleans Saints
Josef Rau,Weightlifting,—,Active,Team USA
Jerrick Reed,Football,Defensive Back,Active,New York Giants
jordan reed,Football,Tight End,Retired (2020),Washington Football Team
Nikko Remigio,Football,Wide Receiver,Active,—
Shannon Rhodes,Softball,—,Active,—
Capri Richardson,Volleyball,—,Active,—
Aidan Robbins,Football,Running Back,Active,—
Roy Robertson-Harris,Football,Defensive End,Retired (2023),Jacksonville Jaguars
Hayden Rucci,Football,Tight End,Active,Miami Dolphins
Todd Rucci,Football,Offensive Guard,Retired (1999),New England Patriots
JJ RUSSELL,Football,—,—,—
Matt Ryan,Golf,PGA Tour,Active,PGA Tour
Matt Ryan,Basketball,Point Guard,Retired (2015),Indiana Pacers
Nick Saldiveri,Football,Offensive Guard,Active,Las Vegas Raiders
Allison Schmitt,Swimming,Freestyle,Retired (2021),Team USA
Boston Scott,Football,Running Back,Active,Philadelphia Eagles
Tyler Scott,Football,Wide Receiver,Active,Chicago Bears
Kent Seton,Tennis,—,Active,—
Jeremy Shelley,Football,Kicker,Retired (2018),Atlanta Falcons
Ryan Siegler,Golf,Korn Ferry Tour,Active,Korn Ferry Tour
Matt Singletary,Football,Linebacker,Active (CFL),CFL
Reid Sinnett,Football,Quarterback,Active,—
Eric Sloan,Football,Offensive Lineman,—,—
Matt Smith,Soccer,Forward,Active,—
Shane Smith,Baseball,Catcher,Retired (2022),Atlanta Braves
Tevaun Smith,Football,Wide Receiver,Retired (2021),—
Travis Snider,Baseball,Outfield,Retired (2018),Toronto Blue Jays
Christopher Spencer,Football,Center / Guard,Active,—
Jaide Stepter Baynes,Track & Field,Sprints,Active,Team USA
Chris Streveler,Football,Quarterback,Active,—
Channing Stribling,Football,Cornerback,Active,—
Ndamukong Suh,Football,Defensive Tackle,Retired (2022),Detroit Lions
Tanner Taula,Football,Defensive Tackle,Active,—
Jamar Taylor,Football,Cornerback,Retired (2019),Buffalo Bills
Lindsay Taylor,Soccer,Forward / Midfielder,Active,NWSL
Malik Taylor,Football,Wide Receiver,Retired (2022),Green Bay Packers
Taywan Taylor,Football,Wide Receiver,Retired (2021),Tennessee Titans
Josh Thole,Baseball,Catcher,Retired (2017),Toronto Blue Jays
Julius Thomas M.S.,Football,Tight End,Retired (2019),Denver Broncos
Anthony Tolliver,Basketball,Power Forward,Retired (2021),Portland Trail Blazers
JR Tolver,Football,Wide Receiver,—,—
Roderick Townsend,Paralympics,Long Jump,Active,Team USA
Joshua Uche,Football,Defensive End,Active,Kansas City Chiefs
Adam Unger,Baseball,Infield,Active,—
Cam Vieaux,Baseball,Pitcher,Retired (2023),Pittsburgh Pirates
Abiola Wabara,Basketball,Guard / Forward,—,—
Julius Warmsley,Football,Linebacker,Active,—
C.J. Watson,Basketball,Point Guard,Retired (2016),Chicago Bulls
Trey Watts,Football,Running Back,Active,—
Benton Whitley,Football,Defensive End,Retired (2021),—
William Whitticker,Football,Offensive Tackle,Active,—
Kerrith Whyte jr,Football,Running Back,Retired (2022),Chicago Bears
Christian Wilkins,Football,Defensive Tackle,Active,Las Vegas Raiders
Roland Williams,Football,Tight End,Retired (2003),St. Louis Rams
Kendall Williamson,Football,Safety,Active,San Francisco 49ers
Tavon Wilson,Football,Safety,Retired (2022),Detroit Lions
Deatrich Wise,Football,Defensive End,Active,New England Patriots
Brandon Withers,Baseball,—,Active (MiLB),—
Bryan Witzmann,Football,Offensive Guard,Retired (2020),Dallas Cowboys
Damion Wright,Football,Linebacker,Active,—
Samir Yajnik,Tennis,—,Active,ATP Tour
Max Zieky,Soccer,—,Active,—
